ngram,count
wellbeing,811
stability,179
variables,160
genetic,157
theory,147
event,141
experience,137
models,132
environmental,132
unemployment,124
psychological,121
longitudinal,114
variable,109
work,103
effect,103
health,97
variance,95
influences,94
change,91
measures,90
findings,90
chapter,88
longterm,87
results,87
scale,86
major,85
public,82
research,82
role,80
growth,78
influence,77
approach,77
baseline,76
question,75
twins,75
observed,74
questions,74
scores,73
analysis,73
nations,72
processes,72
factor,72
economic,71
happy,70
science,70
clinical,68
personal,66
activities,66
conditions,64
basic,64
behavior,63
survey,63
circumstances,63
therapy,62
