ngram,count
wellbeing,102
happy,57
feel,28
department,25
nations,23
perceived pressure,23
participants,20
peoples,19
score,19
frequency,18
anxious,17
sad,16
scale,16
whi score,16
depression,14
experience,14
sample,14
predictive,13
symptoms,13
personal,12
role,12
associations,11
frequency intensity,11
countrylevel,10
models,10
report,10
scores,10
society,10
analysis,9
bastian,9
link,9
results,9
wellbeing indicators,9
whi nations,9
absolute,8
comparison,8
detrimental,8
findings,8
health,8
intense,8
item,8
multilevel,8
possible,8
relation,8
stress,8
survey,8
crossnational,7
current,7
depressive,7
difference,7
evaluate,7
experiencing,7
linked,7
low,7
negative,7
potential,7
relations,7
