ngram,count
wellbeing,35
rules,19
adults,17
play,15
circle,13
perspectives,13
preschool,13
experience,12
norms,12
opposition,12
identity,11
experiences,10
peers,10
balance,9
control,9
feel,9
photos,9
boys,9
early,8
happy,8
playing,8
stories,8
authority,8
childrens perspectives,7
concept,7
describes,7
educator,7
interviews,7
parallel,7
school,7
challenge,7
class,6
counterculture,6
edge,6
group,6
importance,6
ordinary,6
peerculture,6
research,6
status,6
subjective,6
trouble,6
actions,6
agendas,5
analysis,5
asked,5
boy,5
development,5
feel happy,5
field,5
institution,5
interpretive,5
participation,5
perspectives subjective wellbeing,5
points,5
practice,5
risk,5
support,5
words,5
young,5
absence,5
act,5
